arc_id;user_id;polarity;subjectivity;lang;TextBlob;lat;long
53;1868119560;0.1;0.18333333333333335;en;@beautifulbeeee real. youre the last of a dying breed.;48.25943573;16.39883681
672;58308009;0.1;0.4;en;"museum lates! its already 12:15am and the museums are still open at this very hour with lots &amp; lots ";48.20496496;16.36039894
710;22980385;0.1;0.15000000000000002;en;a real family starter - something for everyone. #mexican #food @ los mexikas ;48.20767497;16.35274198
777;85167731;0.1;0.3;en;663km to go! vienna to stuttgart ! early start but hopefully home by 6pm  @ vienna, austria ;48.2083;16.3731
1235;890705448;0.1;0.2;en;like in old times @ schweizergarten ;48.18709069;16.38546467
1307;414994284;0.1;1.0;en;thank you @schaeffer817 @mixdiskerud you taking it too far mixxel;48.19687941;16.40405814
1386;21973233;0.1;0.25;en;"arrived in vienna, checked in and went straight for alena &amp; joshuas hi-tea before the big day. ";48.2115;16.3614
1828;253565841;0.1;0.35;;@tomblebob yeah definitely on loan. dont think hes needed really?;48.20564944;16.33639349
1850;132850010;0.1;0.4;lv;st. polten near vienna.. ;48.183022;16.379559
2213;87157421;0.1;0.4;en;the hills are alive @ vienna, austria ;48.2083;16.3731
2322;852795715;0.1;0.35;en;not tired but i feel like going back to my dream;48.227967;16.397295
2403;17945475;0.1;0.4;;the @epredator caught in the wild. #mnvienna ;48.20260125;16.34217548
2632;425663371;0.1;0.2;en;"have you seen the old man...

#ralphmctell #streetsoflondon
#sunday ";48.2083;16.3731
2780;324282534;0.1;1.0;;is in sisi schlosss wow wat an awsome lady;48.1960437;16.2256767
2886;19231090;0.1;1.0;en;the view was like wow @ 1080 wien ;48.209805;16.349258
3278;227641730;0.1;0.4;en;anyone want to complete my #buildingbridges #eurovision pic?  @viennainfob2b #eurovision ;48.214979;16.364764
3551;2979880064;0.1;0.1;en;if youre a #hospitality professional in #vienna, check out this #job:  #hiring;48.208174;16.373819
3777;354943700;0.1;0.1;en;i am really feeling left out with all of the thanksgiving dinner pictures #fomosyndrome #missthefam @vvigilanti20 @nvigilanti28;48.21735162;16.3689897
3800;1064214752;0.1;0.4;en;@justinbieber please follow me and complete 2013 justin please;48.1690408;16.3666173
3930;312751085;0.1;0.4;en;epic cathedral pic @ st. stephens cathedral, vienna ;48.208127;16.371785
4324;715875758;0.1;1.0;;wow @leonthomas3  retweet my tweet #haaapppyy;48.16027177;16.46123277
4536;65419102;0.1;0.6;;very fat people eating enormous cups of ice-cream #somethingwrong;48.22546266;16.35311223
4837;100750269;0.1;0.4;de;found a doppelgnger for my young self. @ erdberg ;48.1909;16.4149
4952;40217122;0.1;0.1;en;if youre a #sales professional in #wien, check out this #job:  #hiring #careerarc;48.2081743;16.3738189
5324;859945602;0.1;0.4;en;the janoskians make me complete;48.2324987;16.3962113
5456;71528370;0.1;0.4;de;"pm: ""wild auf gold"" prsentation von mnze sterreich in der ...  ";48.203492;16.382512
5548;269584696;0.1;0.4;en;museum of natural history vienna. #makingmemories #grannyandgrampsvisitvienna #grannylovesherboys ;48.20733277;16.3652234
5768;4805761;0.1;0.4;de;"eating ksekrainer in vienna, from bitzinger near the tourist office. cheers, @britinslovakia &amp; @kerrychristiani. ";48.204113;16.368908
5964;9126002;0.1;0.3;;@stwunder when will you be there. we ought to be there early...;48.22101792;16.34092358
6117;19394053;0.1;0.2125;;listening to prof. snickars of kth talking about the future of universities @wu_vienna - very mind-opening...;48.22853534;16.36113467
7020;14412234;0.1;1.0;de;wow. solche you-bahn. wie zug. so hnde.;48.2099861;16.3553928
7262;3068529795;0.1;0.15000000000000002;en;@kevinshell4 thanks for following;48.21325;16.34619
7294;888825272;0.1;0.4;en;@abandonedshoes spottet in a bush near the gps ;48.243;16.398051
7394;104839524;0.1;0.4;en;epsa hlm joao duarte motivating young professionals for their carreer path #euromeeting2014 ;48.23660789;16.41386169
8200;441284033;0.1;0.2;en;old vienna with friends of old. @ alsergrund ;48.227789;16.354181
8723;407101387;0.1;0.95;;@ezizallamov: liverpool will pay only 7.9m (10m) for fabio borini, according to echo. kudos to ian ayre - that is an absolute bargain.;48.20241956;16.36968743
8834;174651943;0.1;0.4;en;epic moment ride alone mastersofhardcore #austria en vienna, austria ;48.2083;16.3731
8920;384951402;0.1;0.4;en;you complete me;48.21347018;16.38292005
8922;85749308;0.1;0.2125;;@porcelaindoll03 @lucillesia same here jane... level up ila mandarin haha;48.29531445;16.41619415
9729;16793124;0.1;1.0;en;sights of the day so far - the fat house, the kunst haus and belvedere. all houses with quirks, ;48.2083;16.3731
10539;264733194;0.1;0.4;en;@denishrok then how are you still alive?;48.22304658;16.3509459
11685;324936614;0.1;1.0;en;wow. what a ref.;48.21468169;16.33203019
11907;226112216;0.1;0.25;en;getting ready to present a paper #8theugenderequalityinhe @profcarolbaxter @bradforduni @uduakarchibong1 ;48.199284;16.369737
