arc_id;user_id;polarity;subjectivity;TextBlob;lat;long
35;1444676084;-1.0;1.0;"mais j avoue que nos anciens dimanches taient bcp mieu :( !! 
shinwi, mburger , resto prs de chez gr mre , ... mhm ctai bcp mieu ";50.883385;4.342547
818;873973009;-1.0;1.0;a moi pas mdire la base des bases cest les marvels !;50.8778287;4.3033117
2446;63976591;-1.0;1.0;@marylou_p @tomorrowland @evan_superman you have no idea, i was 5m away from the railing during @alesso s set, the #fireworks were insane.;50.856045;4.358387
2665;73608865;-1.0;0.8;@_pasdelimite_ et pour info tu m as pist parce que moi j ai fait que rrpondre a un idiot qui m  parl!;50.8297448;4.3761912
2864;25932445;-1.0;0.0;my homie artbycash killed this one!!!!! fuuuuuuuuuuuuuuckkkkk!!!! @ le bazaar ;50.837658;4.34847
3652;20199067;-1.0;1.0;boring boring belgium ;50.86340543;4.32983716
3943;564038704;-1.0;0.6666666666666666;"honte a moi, jai pas encore tlcharg ""bad cowboy"" !!!";50.85245681;4.35371813
4104;338294804;-1.0;1.0;vite mtro avance ! victor est en retard et il dteste ca !!;50.8592;4.34274
4443;632174039;-1.0;1.0;@jayceonadolce impossible !!! non moi cest la tte srieux sa tourne encore orh;50.8668352;4.3069293
5057;233171069;-1.0;1.0;@ckalala93 ouais le batard il est pas rester longtemps !!! dja quil est venu en retard !!!! mais bn sa beaut pardonne tous !;50.86982056;4.30648933
5258;541747245;-1.0;1.0;@chemsdinho: @m_refaei_ on est pas tous comme toi hein :( il faut tre comme moi! y a une hyperactive en moi! ;50.81655251;4.33738215
5371;293718046;-1.0;0.6;who the fuck cares if united are losing! they are playing their youth team in turkey since theyve topped the group! stfu and concentrate!!!;50.81244115;4.43694652
8377;145356099;-1.0;1.0;its cold in #brussels!!! #winter;50.825869;4.39679
9023;361924372;-1.0;1.0;je suis du genre que tu peux m avoir fait des choses horrible mais si tu me dit un pardon sincre , je te pardonnerai !;50.894089;4.3639191
9081;769270238;-1.0;1.0;jai que sa  faire-- sa cest du anglais de base..!;50.8524076;4.3009666
10228;1908522901;-1.0;1.0;@emreshn19o7 horrible ;50.875393;4.396297
12001;92233525;-1.0;1.0;@gaetanandrieux @conradmaj bravo! tu te fiches des militants de base! ils vont tre contents de lapprendre!;50.83961651;4.37512419
12626;361924372;-1.0;1.0;"""@luuuv_joy: c est quoi ce genre de message annonyme????!!!!!!!! "" je me voit la! cest bon!!";50.8940936;4.3638528
12692;14450263;-1.0;1.0;ny aller pas ! horrible magasin ! (@ sportdirect) ;50.853027;4.356831
15734;26293224;-1.0;1.0;horny glassware and the worlds worst pour. #poorpour #belgianbeer #belgium #trappistbeer #travel ;50.843035;4.345966
15972;238260619;-1.0;1.0;sharing ur concers can be the worst nightmare you will ever have..;50.8505428;4.3528508
16219;114678131;-1.0;1.0;dites la @sncb vous men voulez personnellement?retard de fou mardi et mercredi,grve hier,ce matin 15min de retard, ce soir:train supprim!;50.845163;4.356613
17163;815647435;-1.0;1.0;terrible signer checks pire;50.89571839;4.32158142
17276;976160558;-1.0;1.0;la base !!!!;50.875999;4.303883
17442;485779405;-1.0;1.0;oh no downtown! why you so cruel? no no no.;50.83956618;4.37430107
18075;128262423;-1.0;1.0;tonight mad city dont miss this fuckin night !!! @ havana club ;50.83840001;4.35063958
18358;453031093;-1.0;1.0;@its_ayliiiin terrible;50.865295;4.2972574
19093;613377284;-1.0;0.6;what the fuck !!! il neige ??!!;50.8072118;4.421669
19250;394798664;-1.0;0.8;man, hoe f*cking vet is dat hier! gemaan gaan op @skrillex en @netskymusic op werchter! damned... #ikwoudatikkonopnemen!;50.84176208;4.35025473
20844;504579893;-1.0;1.0;mais je reste calme  base de louanges et adorations dans les oreilles !;50.875887;4.369789
21124;537392377;-1.0;0.5;bon jm installe confortable jappelle ma mere pr savoir ou elle est.. po heure epussssaani quand mm !!!!!!!!;50.8599502;4.3900687
21263;887290783;-1.0;1.0;@nazooou :( this girl is on firee,,.......#sortie #bonnenuit !!;50.85488415;4.33738613
21647;610419435;-1.0;1.0;    : (   )               ..!!;50.85591939;4.35654669
22637;873973009;-1.0;1.0;jhene aiko - the worst;50.8775771;4.3027929
22997;900259963;-1.0;1.0;@shaniicevandaam @babiiglad no crdit ! zut flut kataplut :( amani appel !!;50.8729412;4.29961445
23947;1454034824;-1.0;1.0;arkadaslar size bir kotu birde daha daha kotu haberim var. havalar gittikce soguyor, ve okul baslamak uzere hay mk :( !! depresyondaaaayimmm;50.86763826;4.36368463
24290;904134654;-1.0;1.0;jai rever que javais couper mes cheveux tout court, jai meme pleurer dans mon reve cetai horrible;50.8686283;4.3215555
24525;922031089;-1.0;1.0;@princessemhc: putain quelle est le fils de thimp qui ma voler mon briquet bleu magique :(salope de merde cest moi qui la !!!;50.88312265;4.34389768
25723;1009885021;-1.0;1.0;le matin jdois marcher toute une longue rue a toute vitesse cest horrible et tellement jmarche vite je tremble;50.86543643;4.3384407
26349;361484504;-1.0;1.0;@goalgary they are stupid!!!!!;50.8199516;4.3721236
26916;233171069;-1.0;1.0;jai envie de faire un putain de beau tatoo ! mais a bx jusqu prsent je trouve que les gens qui fond de tatoo c pas terrible !!;50.86997961;4.30674089
27690;370927127;-1.0;1.0;manzel toujou ka trap bit up c terrible a!!;50.8313294;4.3567799
27998;712694415;-1.0;0.8;all my stoners! get up. and lift your mother fucking hands up!!!!;50.8486848;4.3759442
28355;257443829;-1.0;1.0;@chescobolt @newschoolbxl frero on a dj valider .. le freestyle ou ta le blues (dfaite de chelsea ) aarrh il est terrible;50.86234942;4.32230088
28977;590220322;-1.0;1.0;omg  @selin501 pourquoi ils partagent des photos comme a :( bande de bias indignes !!!! ;50.8138459;4.3667492
29022;450891490;-1.0;1.0;terrible noche @pajares_mario me debes unas frites mnimo;50.85123336;4.33835758
29752;47362611;-1.0;1.0;lo siento flaco, todos sabemos que el ftbol es un deporte sumamente cruel. nimo @udlp_oficial pronto volveris a primera!;50.840761;4.348523
